incident_id,year,stage,reason
1290,2025,keyword-triage,out-of-scope-type
1291,2024,keyword-triage,out-of-scope-type
1292,2024,keyword-triage,out-of-scope-type
1293,2025,keyword-triage,out-of-scope-type
1297,2024,keyword-triage,out-of-scope-type
1300,2025,keyword-triage,out-of-scope-type
1301,2025,keyword-triage,out-of-scope-type
1304,2025,keyword-triage,out-of-scope-type
1305,2025,keyword-triage,out-of-scope-type
1306,2025,keyword-triage,out-of-scope-type
1311,2023,keyword-triage,out-of-scope-type
1314,2025,keyword-triage,out-of-scope-type
1315,2025,keyword-triage,out-of-scope-type
1317,2025,keyword-triage,out-of-scope-type
1319,2025,keyword-triage,out-of-scope-type
1320,2025,keyword-triage,out-of-scope-type
1321,2025,keyword-triage,out-of-scope-type
1322,2025,keyword-triage,out-of-scope-type
1323,2025,keyword-triage,out-of-scope-type
1325,2025,keyword-triage,out-of-scope-type
1326,2025,keyword-triage,out-of-scope-type
1327,2025,keyword-triage,out-of-scope-type
1328,2026,keyword-triage,out-of-scope-type
1330,2025,keyword-triage,out-of-scope-type
1331,2026,keyword-triage,out-of-scope-type
1335,2023,keyword-triage,out-of-scope-type
1337,2025,keyword-triage,out-of-scope-type
1338,2025,keyword-triage,out-of-scope-type
1339,2026,keyword-triage,out-of-scope-type
1341,2025,keyword-triage,out-of-scope-type
1342,2024,keyword-triage,out-of-scope-type
1344,2026,keyword-triage,out-of-scope-type
1345,2025,keyword-triage,out-of-scope-type
1346,2025,keyword-triage,out-of-scope-type
1348,2025,keyword-triage,out-of-scope-type
1349,2025,keyword-triage,out-of-scope-type
1350,2025,keyword-triage,out-of-scope-type
1351,2025,keyword-triage,out-of-scope-type
1352,2025,keyword-triage,out-of-scope-type
1353,2025,keyword-triage,out-of-scope-type
1354,2024,keyword-triage,out-of-scope-type
1355,2026,keyword-triage,out-of-scope-type
1357,2026,keyword-triage,out-of-scope-type
1359,2025,keyword-triage,out-of-scope-type
1361,2026,keyword-triage,out-of-scope-type
1362,2026,keyword-triage,out-of-scope-type
1363,2026,keyword-triage,out-of-scope-type
1366,2025,keyword-triage,out-of-scope-type
1371,2026,keyword-triage,out-of-scope-type
1372,2025,keyword-triage,out-of-scope-type
1378,2025,keyword-triage,out-of-scope-type
1380,2026,keyword-triage,out-of-scope-type
1381,2025,keyword-triage,out-of-scope-type
1384,2025,keyword-triage,out-of-scope-type
1388,2025,keyword-triage,out-of-scope-type
1391,2025,keyword-triage,out-of-scope-type
1394,2026,keyword-triage,out-of-scope-type
1397,2025,keyword-triage,out-of-scope-type
1398,2025,keyword-triage,out-of-scope-type
1404,2026,keyword-triage,out-of-scope-type
1405,2026,keyword-triage,out-of-scope-type
1406,2026,keyword-triage,out-of-scope-type
1408,2025,keyword-triage,out-of-scope-type
1409,2026,keyword-triage,out-of-scope-type
1410,2026,keyword-triage,out-of-scope-type
1411,2026,keyword-triage,out-of-scope-type
1413,2026,keyword-triage,out-of-scope-type
1416,2025,keyword-triage,out-of-scope-type
1417,2026,keyword-triage,out-of-scope-type
1419,2025,keyword-triage,out-of-scope-type
1420,2025,keyword-triage,out-of-scope-type
1421,2026,keyword-triage,out-of-scope-type
1422,2025,keyword-triage,out-of-scope-type
1425,2025,keyword-triage,out-of-scope-type
1429,2026,keyword-triage,out-of-scope-type
1432,2025,keyword-triage,out-of-scope-type
1435,2025,keyword-triage,out-of-scope-type
1439,2026,keyword-triage,out-of-scope-type
1445,2026,keyword-triage,out-of-scope-type
1448,2024,keyword-triage,out-of-scope-type
1450,2026,keyword-triage,out-of-scope-type
1451,2025,keyword-triage,out-of-scope-type
1452,2026,keyword-triage,out-of-scope-type
1454,2026,keyword-triage,out-of-scope-type
1455,2025,keyword-triage,out-of-scope-type
1456,2023,keyword-triage,out-of-scope-type
1457,2024,keyword-triage,out-of-scope-type
1458,2024,keyword-triage,out-of-scope-type
1459,2024,keyword-triage,out-of-scope-type
1460,2026,keyword-triage,out-of-scope-type
1461,2024,keyword-triage,out-of-scope-type
1462,2024,keyword-triage,out-of-scope-type
1463,2024,keyword-triage,out-of-scope-type
1464,2024,keyword-triage,out-of-scope-type
1466,2026,keyword-triage,out-of-scope-type
1472,2026,keyword-triage,out-of-scope-type
1473,2026,keyword-triage,out-of-scope-type
1474,2026,keyword-triage,out-of-scope-type
1475,2026,keyword-triage,out-of-scope-type
1477,2026,keyword-triage,out-of-scope-type
1478,2026,keyword-triage,out-of-scope-type
1480,2026,keyword-triage,out-of-scope-type
1481,2025,keyword-triage,out-of-scope-type
1482,2026,keyword-triage,out-of-scope-type
1483,2025,keyword-triage,out-of-scope-type
1485,2026,keyword-triage,out-of-scope-type
1486,2025,keyword-triage,out-of-scope-type
1494,2026,keyword-triage,out-of-scope-type
1496,2026,keyword-triage,out-of-scope-type
1500,2025,keyword-triage,out-of-scope-type
1501,2026,keyword-triage,out-of-scope-type
1502,2025,keyword-triage,out-of-scope-type
1505,2026,keyword-triage,out-of-scope-type
1508,2026,keyword-triage,out-of-scope-type
1513,2025,keyword-triage,out-of-scope-type
1514,2025,keyword-triage,out-of-scope-type
1515,2025,keyword-triage,out-of-scope-type
1516,2025,keyword-triage,out-of-scope-type
1517,2025,keyword-triage,out-of-scope-type
1518,2025,keyword-triage,out-of-scope-type
1519,2026,keyword-triage,out-of-scope-type
1520,2026,keyword-triage,out-of-scope-type
1521,2026,keyword-triage,out-of-scope-type
1522,2026,keyword-triage,out-of-scope-type
1523,2026,keyword-triage,out-of-scope-type
1524,2026,keyword-triage,out-of-scope-type
1525,2025,keyword-triage,out-of-scope-type
1526,2026,keyword-triage,out-of-scope-type
1527,2026,keyword-triage,out-of-scope-type
1529,2026,keyword-triage,out-of-scope-type
1530,2026,keyword-triage,out-of-scope-type
1531,2026,keyword-triage,out-of-scope-type
1532,2025,keyword-triage,out-of-scope-type
1537,2025,keyword-triage,out-of-scope-type
1538,2025,keyword-triage,out-of-scope-type
1539,2025,keyword-triage,out-of-scope-type
1540,2026,keyword-triage,out-of-scope-type
1541,2026,keyword-triage,out-of-scope-type
1543,2026,keyword-triage,out-of-scope-type
1544,2026,keyword-triage,out-of-scope-type
1545,2024,keyword-triage,out-of-scope-type
1547,2026,keyword-triage,out-of-scope-type
1549,2026,keyword-triage,out-of-scope-type
1551,2026,keyword-triage,out-of-scope-type
1552,2026,keyword-triage,out-of-scope-type
1553,2025,keyword-triage,out-of-scope-type
1557,2025,keyword-triage,out-of-scope-type
1560,2026,keyword-triage,out-of-scope-type
1564,2025,keyword-triage,out-of-scope-type
1565,2026,keyword-triage,out-of-scope-type
1566,2025,keyword-triage,out-of-scope-type
446,2023,recall-screen,out-of-scope-type
453,2023,recall-screen,out-of-scope-type
459,2023,recall-screen,out-of-scope-type
462,2023,recall-screen,out-of-scope-type
466,2023,recall-screen,out-of-scope-type
485,2023,recall-screen,out-of-scope-type
488,2023,recall-screen,out-of-scope-type
492,2023,recall-screen,out-of-scope-type
493,2023,recall-screen,out-of-scope-type
499,2023,recall-screen,out-of-scope-type
500,2023,recall-screen,out-of-scope-type
523,2023,recall-screen,out-of-scope-type
528,2023,recall-screen,out-of-scope-type
537,2023,recall-screen,out-of-scope-type
540,2023,recall-screen,out-of-scope-type
553,2023,recall-screen,out-of-scope-type
554,2023,recall-screen,out-of-scope-type
565,2023,recall-screen,out-of-scope-type
566,2023,recall-screen,out-of-scope-type
